Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Sales,Rating,Outlet Age
Regular,FDB49,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030274175,8.3,98.5384,3.8,4
Regular,FDI34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.085482761,10.65,231.4668,3.6,4
Low Fat,FDF41,Fruits and Vegetables,2020,OUT017,Tier 3,Medium,Supermarket Type1,0.131921819,12.867122940430924,246.346,2.0,6
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03324652,12.85,172.4422,5.0,11
Low Fat,FDO37,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021372636,8.06,231.7326,3.9,9
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.052176861,17.85,122.8072,5.0,10
Low Fat,NCA41,Health and Hygiene,2018,OUT035,Tier 2,Small,Supermarket Type1,0.032580547,16.75,192.1162,4.1,8
Regular,FDI41,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.05934663,18.5,148.7418,4.1,11
Low Fat,FDJ53,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.071660976,10.5,119.7098,4.0,6
Regular,FDN03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.015016891,12.867122940430924,248.6408,3.8,8
Low Fat,NCS54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.010013429,13.6,176.437,4.0,11
Low Fat,FDT20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.041360997,10.5,39.5164,4.2,12
Regular,FDT09,Snack Foods,2015,OUT045,Tier 3,High,Supermarket Type1,0.012288171,15.15,129.9284,4.4,11
Low Fat,FDY59,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.031397503,8.195,91.3462,3.5,9
Regular,FDL12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.121609722,15.85,60.222,4.4,9
Low Fat,FDA36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.009921107,12.867122940430924,183.6924,4.0,8
Regular,FDI22,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,8.6,131.531,4.0,14
Low Fat,FDR09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.130095044,18.25,257.2962,3.9,15
Regular,FDN49,Breakfast,2017,OUT035,Tier 3,Small,Supermarket Type1,0.05934663,17.25,41.648,3.7,9
Regular,FDC16,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.020611526,11.5,143.9786,3.2,11
Regular,FDW22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03033748,9.695,222.9114,3.6,14
Regular,DRD01,Soft Drinks,2012,OUT013,Tier 1,Medium,Supermarket Type1,0.061270647,12.1,53.2614,4.0,14
Low Fat,FDZ14,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.047857877,7.71,119.7756,4.5,6
Regular,FDY08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.170246782,12.867122940430924,141.5838,4.0,8
Low Fat,NCN42,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.014153743,12.867122940430924,145.6418,5.0,8
Regular,FDO56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.075291577,10.195,119.1808,3.7,15
Regular,FDL48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.082394321,19.35,48.5034,4.0,14
Low Fat,FDS50,Dairy,2012,OUT049,Tier 3,Medium,Supermarket Type1,0.055519561,17.0,219.8114,4.2,14
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124301968,19.2,89.7488,5.0,11
Low Fat,DRD15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.056785183,10.6,231.9642,4.0,9
Low Fat,FDR20,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.0,20.0,46.4744,4.0,15
Low Fat,FDK34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.038519399,13.35,236.8564,4.2,9
Regular,FDO48,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0268952,15.0,220.3456,4.0,11
Regular,FDM15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.057143515,12.867122940430924,143.9786,4.0,8
Low Fat,FDE14,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031508924,13.65,98.77,4.0,11
Regular,FDK32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049051717,16.25,152.4682,4.4,14
Regular,FDY11,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02960641,6.71,65.4142,4.0,14
Low Fat,FDQ52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.05934663,12.867122940430924,247.4434,3.7,12
Low Fat,FDO60,Baking Goods,2014,OUT013,Tier 3,Medium,Supermarket Type1,0.034340926,20.0,45.4086,4.0,12
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,13.15,88.6856,5.0,11
Low Fat,FDA14,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06528457,16.1,145.076,3.0,14
Low Fat,NCS30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.05934663,5.945,127.9652,4.5,15
Low Fat,NCD31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01545846,12.1,166.0526,3.6,14
Regular,FDV04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.149986868,7.825,158.8288,4.0,9
Low Fat,NCR29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054630544,7.565,57.393,3.4,9
Regular,FDS21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020908608,19.85,63.5194,4.1,14
Low Fat,FDF52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.066459891,12.867122940430924,184.2292,4.0,8
Low Fat,NCU54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.165073642,8.88,207.727,4.4,15
Regular,FDL52,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.080697998,12.867122940430924,39.8506,4.2,8
Regular,FDV10,Snack Foods,2018,OUT019,Tier 3,Small,Grocery Store,0.116793684,12.867122940430924,41.0112,4.3,8
Regular,FDS02,Dairy,2018,OUT046,Tier 1,Small,Supermarket Type1,0.145867347,10.195,194.0794,4.1,8
Low Fat,NCF31,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.051847425,9.13,143.9786,4.1,10
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.142107998,12.867122940430924,143.9786,5.0,8
Regular,FDT15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.074729835,12.867122940430924,183.795,4.0,8
Low Fat,NCK07,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.048785427,10.65,163.9526,4.0,11
Low Fat,NCJ30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08062523,5.82,168.379,4.5,9
Regular,FDJ21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.038341654,12.867122940430924,146.2102,4.0,8
Low Fat,FDS47,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12888573,16.75,87.6856,4.5,10
Regular,FDW31,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.043122189,11.35,197.9742,4.0,12
Low Fat,NCY18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03100078,12.867122940430924,177.0054,4.0,8
Regular,FDN03,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.025257508,9.8,248.5408,3.6,15
Low Fat,FDA19,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.0,12.867122940430924,126.6994,3.9,8
Low Fat,FDT22,Snack Foods,2022,OUT013,Tier 3,Medium,Supermarket Type2,0.112553853,10.395,59.022,4.3,4
Low Fat,FDC46,Snack Foods,2018,OUT049,Tier 1,Medium,Supermarket Type1,0.116723677,17.7,182.4266,3.9,8
Low Fat,NCZ18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.186032678,7.825,253.0698,4.0,9
Low Fat,NCC55,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.064022881,10.695,36.0848,3.9985355648535563,4
Low Fat,FDR46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.233356571,16.85,146.576,4.3,15
Regular,FDY01,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.170141787,11.8,116.7834,4.3,12
Low Fat,FDN60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.095140088,15.1,143.9786,5.0,9
Low Fat,FDQ33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.091189915,13.35,149.3708,4.0,9
Low Fat,FDQ10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03315162,12.85,170.6422,5.0,12
Low Fat,FDH26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034753686,19.25,141.5496,4.0,14
Low Fat,FDH16,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.052511611,10.5,90.783,4.3,12
reg,FDX39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.049676157,14.3,212.4586,4.0,10
Regular,FDV26,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.076314907,12.867122940430924,196.7794,3.0,11
Low Fat,NCA06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.143506376,20.5,143.9786,4.3,14
Regular,FDL14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032208865,8.115,154.9972,4.5,14
Low Fat,DRI47,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020952705,14.7,143.5128,4.0,14
Low Fat,FDL46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.054056927,20.35,116.8466,3.9985355648535563,10
Low Fat,NCR41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.018125948,17.85,94.9094,4.3,6
Low Fat,NCI17,Health and Hygiene,2018,OUT045,Tier 2,Small,Supermarket Type1,0.143713508,8.645,96.641,4.0,8
Low Fat,NCG07,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.052608525,12.3,191.253,2.7,11
Low Fat,FDU25,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.026676216,12.35,57.0246,4.0,9
Regular,FDP45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030624844,15.7,143.9786,4.0,10
Low Fat,FDI22,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076385385,15.1,88.483,4.3,4
low fat,FDN24,Baking Goods,2020,OUT017,Tier 3,Medium,Supermarket Type1,0.113908117,14.1,53.3956,3.9,6
Regular,FDH40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.132111921,11.6,82.2276,4.0,15
Regular,DRY23,Fruits and Vegetables,2012,OUT013,Tier 1,Medium,Supermarket Type1,0.109265987,9.395,42.3112,4.3,14
Low Fat,FDT58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.085538477,12.867122940430924,169.2816,4.0,8
low fat,FDV49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.025932408,10.0,264.7226,3.7,4
Regular,FDK58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044764726,12.867122940430924,102.4016,4.0,8
Low Fat,FDT49,Canned,2020,OUT017,Tier 3,Medium,Supermarket Type1,0.152261999,7.0,105.728,3.0,6
LF,FDT08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048980156,12.867122940430924,148.705,4.1,8
LF,FDQ14,Dairy,2018,OUT035,Tier 2,Small,Supermarket Type1,0.061775607,9.27,150.105,4.0,8
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066833743,11.3,257.2962,5.0,14
Regular,FDT09,Snack Foods,2018,OUT013,Tier 3,Small,Grocery Store,0.021471456,12.867122940430924,131.0284,4.5,8
Low Fat,NCM19,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.047237246,12.65,112.5202,4.8,10
Low Fat,FDI22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.096756649,12.6,208.7612,4.0,6
Low Fat,FDB08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.031230059,6.055,160.3578,4.4,4
Regular,FDP44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.079698503,16.5,100.6332,3.2,9
Low Fat,FDD51,Dairy,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.119371835,12.867122940430924,45.2744,3.5,8
Low Fat,DRE03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.024325592,19.6,48.5718,4.3,4
Regular,FDW26,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.107662745,11.8,224.1772,3.9985355648535563,6
Low Fat,FDZ60,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.208987123,12.867122940430924,106.0596,4.3,8
Low Fat,NCH43,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.070555571,8.42,143.9786,4.4,9
Low Fat,NCB31,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.118651919,6.235,263.991,4.0,9
Low Fat,FDS48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.046496777,15.15,149.6708,4.0,15
Low Fat,FDP25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021327477,15.2,216.8824,4.0,6
Low Fat,FDM28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.075661985,15.7,181.366,4.0,15
Regular,FDZ49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.133145617,12.867122940430924,218.4798,3.0,10
Low Fat,DRI01,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,7.97,173.7422,2.4,11
Low Fat,FDP25,Canned,2018,OUT035,Tier 2,Small,Supermarket Type1,0.021203509,15.2,143.9786,4.2,8
Regular,FDC59,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05934663,12.867122940430924,63.8168,4.8,8
LF,NCT41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.055943697,15.7,150.6024,4.0,12
Low Fat,NCQ38,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.013363902,16.35,106.128,5.0,9
Low Fat,FDB15,Dairy,2018,OUT013,Tier 3,High,Supermarket Type1,0.136696892,10.895,264.5568,5.0,8
Low Fat,FDY13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.030121709,12.1,78.067,3.8,9
Low Fat,NCW18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.059275452,15.1,238.9248,4.0,12
Regular,FDP28,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.080573371,13.65,260.1936,3.9985355648535563,12
Low Fat,FDI22,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036474041,20.25,218.3482,4.8,4
Regular,FDU10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.045950475,10.1,38.2848,4.0,6
Low Fat,FDN10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.046217345,11.5,120.3124,3.8,11
Regular,FDG09,Fruits and Vegetables,2018,OUT045,Tier 2,High,Supermarket Type1,0.0480335,20.6,188.2556,4.0,8
Low Fat,FDD09,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.021392306,12.867122940430924,182.0976,4.0,8
Low Fat,FDK33,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0112259,17.85,211.956,4.1,12
Low Fat,FDD17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032677678,12.867122940430924,239.0906,4.0,14
low fat,NCQ53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018813776,12.867122940430924,235.259,4.6,8
Low Fat,FDL26,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.073306615,18.0,155.0972,4.0,14
Low Fat,FDC39,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05934663,7.405,207.1296,4.0,9
Low Fat,FDI28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026194237,12.867122940430924,79.0302,4.4,8
Regular,FDI53,Frozen Foods,2018,OUT035,Tier 2,Small,Supermarket Type1,0.137618927,8.895,161.5236,4.0,8
Low Fat,FDU13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.187523164,12.867122940430924,146.2418,4.0,9
Low Fat,FDB20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.05193741,7.72,143.9786,4.0,12
Regular,FDT27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.069728296,11.395,233.9616,4.1,11
Low Fat,DRD15,Dairy,2018,OUT019,Tier 1,Small,Supermarket Type1,0.099442329,12.867122940430924,233.1642,4.5,8
Regular,FDR37,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.065928735,12.867122940430924,183.0292,4.0,8
Regular,FDR28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.026042966,13.85,161.221,3.9,6
Low Fat,FDC39,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.159843921,7.405,206.6296,4.0,4
Low Fat,NCP02,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.075000682,7.105,61.0562,4.3,15
Regular,FDZ08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.05934663,12.5,81.8592,4.0,11
Low Fat,NCE42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010602292,21.1,235.3958,4.0,10
Low Fat,FDA13,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.078174543,12.867122940430924,39.9506,4.3,8
Low Fat,NCR53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.14492016,12.15,224.4404,4.2,12
Low Fat,DRF01,Soft Drinks,2016,OUT046,Tier 1,Medium,Supermarket Type1,0.0,5.655,147.5102,4.6,10
Low Fat,NCW53,Health and Hygiene,2018,OUT013,Tier 1,Small,Grocery Store,0.053392944,12.867122940430924,193.8162,4.2,8
Regular,FDD38,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.867122940430924,100.3674,4.3,8
Low Fat,FDH40,Frozen Foods,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.078547351,12.867122940430924,79.3276,4.0,8
Low Fat,NCP02,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044591774,12.867122940430924,59.6562,3.9985355648535563,8
Low Fat,FDP10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.128090139,19.0,107.0622,3.8,10
Regular,FDJ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.105296072,15.6,170.1764,4.0,10
Regular,FDV60,Baking Goods,2015,OUT013,Tier 3,High,Supermarket Type1,0.117599259,20.2,195.311,4.0,11
Low Fat,FDL16,Frozen Foods,2020,OUT017,Tier 3,Small,Supermarket Type1,0.169405699,12.85,46.106,2.8,6
Low Fat,DRH49,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.043168763,12.867122940430924,82.8592,4.0,8
Low Fat,FDW49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.082552214,19.5,179.8002,4.2,10
Low Fat,FDQ48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.034382602,14.3,96.5726,3.9,12
Regular,FDY44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.024503972,14.15,195.111,4.2,4
Low Fat,FDL04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.111830282,19.0,143.9786,4.0,12
Regular,FDS25,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1408005,6.885,111.4228,4.0,6
Regular,FDS25,Canned,2016,OUT046,Tier 3,Small,Supermarket Type1,0.140008554,6.885,108.7228,4.7,10
reg,FDD47,Starchy Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.142699588,7.6,143.9786,4.2,11
Regular,FDQ15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.252865979,20.35,82.7276,4.1,15
Low Fat,DRJ25,Soft Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.151419185,14.6,50.3692,3.9985355648535563,6
Regular,FDK20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.867122940430924,120.5072,1.0,8
Regular,FDY49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012030747,17.2,166.6184,3.1,14
Low Fat,FDC45,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.237651344,12.867122940430924,170.2106,4.0,8
Regular,FDI22,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.113123893,8.85,122.5388,4.1,4
Regular,FDU03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.091950972,18.7,143.9786,4.0,4
Regular,FDI41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.062245149,12.867122940430924,145.8418,3.9985355648535563,9
Low Fat,DRD24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030842963,13.85,143.1154,4.4,14
Low Fat,FDJ16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.115064263,12.867122940430924,143.9786,4.0,14
Regular,FDX36,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128805815,9.695,224.0404,4.0,4
Low Fat,FDP23,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03558013,6.71,217.5166,4.2,9
Regular,FDO03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.036957777,10.395,143.9786,4.2,11
Regular,FDY33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.096730427,12.867122940430924,159.0262,4.0,8
Low Fat,NCL05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.047888606,19.6,42.277,4.8,9
Regular,FDP13,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.235183205,12.867122940430924,41.548,3.6,8
Low Fat,FDO50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.05934663,16.25,91.1804,4.0,12
Low Fat,FDV08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028711412,7.35,39.9454,4.0,4
Low Fat,FDX11,Fruits and Vegetables,2012,OUT013,Tier 1,Medium,Supermarket Type1,0.106918052,16.0,183.5634,4.4,14
Low Fat,NCL07,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.05486977,12.867122940430924,40.548,3.7,8
Low Fat,FDI22,Frozen Foods,2016,OUT046,Tier 3,Small,Supermarket Type1,0.026880159,10.895,106.428,3.8,10
Low Fat,FDC15,Dairy,2018,OUT018,Tier 3,Medium,Supermarket Type2,0.178694026,18.1,158.9288,4.0,8
Low Fat,FDP32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.087652908,6.65,128.8678,3.9985355648535563,9
Regular,FDM04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04719387,9.195,52.8666,4.3,14
Regular,FDL03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type1,0.027190917,19.25,194.811,4.2,4
Low Fat,FDR58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041921462,6.675,92.3462,4.2,10
Regular,FDY60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.026520167,10.5,144.8128,3.8,6
Low Fat,FDI22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075501241,18.25,123.1046,4.3,4
LF,NCX06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.02746599,12.867122940430924,181.5976,4.0,8
LF,NCZ42,Household,2018,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.5,235.5248,5.0,8
Low Fat,FDY32,Fruits and Vegetables,2011,OUT013,Tier 3,Medium,Grocery Store,0.216323008,7.605,165.021,4.0,15
Low Fat,FDI22,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.026832182,12.35,57.3246,3.7,6
low fat,FDK48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,7.445,76.8354,3.6,10
Low Fat,FDB51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.038454076,6.92,61.5852,4.0,10
Regular,FDJ10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.129705008,5.095,141.8838,4.5,14
Regular,FDT10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.062170334,16.7,60.9562,4.0,11
Low Fat,FDU13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.187939003,8.355,146.9418,4.2,11
Low Fat,DRK35,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.072252888,8.365,39.6506,3.9985355648535563,6
Low Fat,FDI22,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.091411749,12.867122940430924,121.373,3.9985355648535563,8
Low Fat,FDV36,Fruits and Vegetables,2020,OUT017,Tier 3,Small,Supermarket Type1,0.026450779,18.7,124.902,4.3,6
Low Fat,FDI22,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.057585723,8.26,113.7834,4.0,15
Low Fat,NCL18,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.168266556,18.85,195.5136,4.0,4
Low Fat,FDV28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.160379061,16.1,33.6558,4.0,4
Low Fat,FDD39,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.122832172,12.867122940430924,217.685,4.0,8
Low Fat,FDI14,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.089243504,12.867122940430924,139.2496,5.0,8
Low Fat,DRF15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03321399,18.35,143.9786,4.1,10
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.169137707,7.155,35.2874,5.0,6
Low Fat,NCO17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073379745,10.0,118.244,3.9985355648535563,10
Regular,FDF44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.059849153,7.17,129.4968,3.0,11
Low Fat,FDR02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022065676,16.7,110.5886,4.3,10
Low Fat,FDV15,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.146999264,10.3,103.7648,4.0,6
Low Fat,FDT25,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05074138,7.5,123.2072,4.0,9
low fat,NCY41,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.075368868,12.867122940430924,35.2532,3.9,8
